"date","home.team","home.score","away.team","away.score"
"2020-11-30","Betis",0,"Eibar",2
"2020-12-04","Ath Bilbao",0,"Celta",2
"2020-12-05","Levante",3,"Getafe",0
"2020-12-05","Sevilla",0,"Real Madrid",1
"2020-12-05","Ath Madrid",2,"Valladolid",0
"2020-12-05","Cadiz",2,"Barcelona",1
"2020-12-06","Granada",3,"Huesca",3
"2020-12-06","Osasuna",0,"Betis",2
"2020-12-06","Villarreal",0,"Elche",0
"2020-12-06","Alaves",0,"Sociedad",0
"2020-12-07","Eibar",0,"Valencia",0
"2020-12-11","Valladolid",3,"Osasuna",2
"2020-12-12","Valencia",2,"Ath Bilbao",2
"2020-12-12","Getafe",0,"Sevilla",1
"2020-12-12","Huesca",1,"Alaves",0
"2020-12-12","Real Madrid",2,"Ath Madrid",0
"2020-12-13","Sociedad",1,"Eibar",1
"2020-12-13","Betis",1,"Villarreal",1
"2020-12-13","Elche",0,"Granada",1
"2020-12-13","Barcelona",1,"Levante",0
"2020-12-14","Celta",4,"Cadiz",0
"2020-12-15","Real Madrid",3,"Ath Bilbao",1
"2020-12-16","Barcelona",2,"Sociedad",1
"2020-12-18","Ath Bilbao",2,"Huesca",0
"2020-12-19","Ath Madrid",3,"Elche",1
"2020-12-19","Barcelona",2,"Valencia",2
"2020-12-19","Levante",2,"Sociedad",1
"2020-12-19","Osasuna",1,"Villarreal",3
"2020-12-19","Sevilla",1,"Valladolid",1
"2020-12-20","Celta",2,"Alaves",0
"2020-12-20","Granada",2,"Betis",0
"2020-12-20","Cadiz",0,"Getafe",2
"2020-12-20","Eibar",1,"Real Madrid",3
"2020-12-22","Elche",2,"Osasuna",2
"2020-12-22","Valencia",0,"Sevilla",1
"2020-12-22","Huesca",1,"Levante",1
"2020-12-22","Sociedad",0,"Ath Madrid",2
"2020-12-22","Valladolid",0,"Barcelona",3
"2020-12-22","Villarreal",1,"Ath Bilbao",1
"2020-12-23","Getafe",1,"Celta",1
"2020-12-23","Real Madrid",2,"Granada",0
"2020-12-23","Alaves",2,"Eibar",1
"2020-12-23","Betis",1,"Cadiz",0
